High Selling:
  22197: 56450
  84077: 53847
  85099B: 47363
  85123A: 38830
  84879: 36221
  21212: 36039
  23084: 30646
  22492: 26437
  22616: 26315
  21977: 24753
  22178: 23854
  17003: 23053
  15036: 22552
  21915: 22066
  22386: 21009
  23203: 20013
  20725: 18979
  84946: 18911
  22086: 18902
  84991: 18040
  47566: 18022
  22355: 18003
  22469: 17791
  20724: 17548
  84755: 16380
  22693: 16172
  22961: 16081
  85099F: 16035
  22952: 15767
  21213: 15128
  21790: 14443
  22151: 14260
  22629: 14206
  23199: 14197
  84568: 13882
  21731: 13823
  84826: 13645
  85099C: 13641
  71459: 13476
  16014: 13328
  21931: 13320
  23209: 13249
  84992: 13230
  20719: 13198
  21080: 13195
  22423: 12980
  20668: 12979
  23201: 12785
  22993: 12604
  21181: 12576
  22383: 12405
  22969: 12392
  84978: 12337
  22998: 12313
  21975: 12269
  22411: 12248
  23206: 12124
  20727: 12112
  23310: 12050
  23307: 11975
  21137: 11616
  20728: 11603
  22630: 11518
  21232: 11470
  22659: 11201
  23202: 10820
  21929: 10785
  21326: 10562
  21498: 10501
  84945: 10454
  22384: 10363
  23077: 10355
  79321: 10343
  84212: 10315
  22382: 10305
  22910: 10253
  22577: 10209
  21928: 10205
  21175: 10177
  21166: 10153
  23344: 10044
  20726: 9852
  22470: 9830
  20723: 9723
  22489: 9719
  22610: 9608
  20712: 9533
  22356: 9455
  22699: 9441
  21703: 9303
  22578: 9279
  20713: 9159
  22077: 9149
  22457: 9120
  84970S: 8880
  22988: 8878
  21985: 8803
  82482: 8773
  21094: 8758
  22909: 8728
  23301: 8711
  84947: 8674
  22558: 8647
  21497: 8600
  23232: 8575
  22385: 8566
  23298: 8534
  22326: 8519
  22741: 8496
  22960: 8470
  23293: 8454
  20971: 8384
  22417: 8380
  22865: 8366
  21787: 8350
  22189: 8283
  23309: 8244
  85152: 8194
  22029: 8173
  22560: 8167
  22666: 8146
  23343: 8110
  21891: 8079
  23076: 8072
  22551: 8053
  23230: 7926
  84692: 7884
  22467: 7877
  21791: 7854
  21914: 7843
  21733: 7825
  23204: 7790
  22554: 7784
  22791: 7780
  22727: 7741
  21982: 7611
  22090: 7516
  23207: 7403
  22951: 7398
  22966: 7379
  20972: 7338
  84988: 7299
  22720: 7286
  23231: 7277
  82583: 7240
  16161P: 7201
  22697: 7161
  21086: 7137
  21108: 7103
  23200: 7037
  75049L: 6886
  21918: 6851
  22379: 6846
  23078: 6783
  22065: 6741
  21499: 6727
  22662: 6707
  23300: 6675
  22771: 6605
  22595: 6577
  21980: 6555
  21121: 6538
  22907: 6535
  22045: 6477
  22866: 6465
  21930: 6447
  20974: 6417
  22418: 6392
  22726: 6384
  21889: 6377
  POST: 6353
  21500: 6350
  20975: 6316
  82494L: 6308
  22867: 6292
  84378: 6278
  37413: 6271
  23208: 6269
  23245: 6267
  20914: 6265
  22328: 6189
  22585: 6188
  23308: 6151
  23170: 6151
  23171: 6150
  23295: 6127
  22621: 6099
  84970L: 6053
  22556: 6052
  22440: 6024
  22555: 6002
  82484: 5996
  72741: 5953
  22722: 5928
  22609: 5910
  84836: 5909
  21231: 5906
  22112: 5898
  22740: 5835
  21495: 5775
  21810: 5751
  23355: 5745
  84380: 5730
  16156S: 5690
  23205: 5668
  22698: 5626
  22561: 5612
  82580: 5593
  22114: 5591
  71477: 5536
  82600: 5521
  21210: 5502
  22294: 5500
  21981: 5475
  22149: 5449
  21668: 5444
  22728: 5323
  23167: 5322
  21122: 5282
  21967: 5275
  22147: 5273
  23284: 5264
  22608: 5240
  22704: 5228
